,Model,Displ,Cyl,Trans,Drive,Fuel,Stnd,Underhood_ID,Veh_Class,Air_Pollution_Score,City_MPG,Hwy_MPG,Cmb_MPG,Greenhouse_Gas_Score
0,ACURA MDX,3.7,6,Auto-S5,4WD,Gasoline,U2,8HNXT03.7PKR,SUV,7.0,15.0,20.0,17.0,4.0
1,ACURA RDX,2.3,4,Auto-S5,4WD,Gasoline,U2,8HNXT02.3DKR,SUV,7.0,17.0,22.0,19.0,5.0
2,ACURA RL,3.5,6,Auto-S5,4WD,Gasoline,U2,8HNXV03.5HKR,midsize car,7.0,16.0,24.0,19.0,5.0
3,ACURA TL,3.2,6,Auto-S5,2WD,Gasoline,U2,8HNXV03.5HKR,midsize car,7.0,18.0,26.0,21.0,6.0
4,ACURA TL,3.5,6,Auto-S5,2WD,Gasoline,U2,8HNXV03.5RKR,midsize car,7.0,17.0,26.0,20.0,6.0
5,ACURA TL,3.5,6,Man-6,2WD,Gasoline,U2,8HNXV03.5RKR,midsize car,7.0,18.0,27.0,21.0,6.0
6,ACURA TSX,2.4,4,Man-6,2WD,Gasoline,L2,8HNXV02.4FKC,small car,6.0,19.0,28.0,22.0,6.0
7,ACURA TSX,2.4,4,Auto-S5,2WD,Gasoline,L2,8HNXV02.4FKC,small car,6.0,20.0,28.0,23.0,7.0
8,ASTON MARTIN DB9,5.9,12,Man-6,2WD,Gasoline,L2,8ASXV05.9803,small car,6.0,10.0,16.0,12.0,0.0
9,ASTON MARTIN DB9,5.9,12,Auto-S6,2WD,Gasoline,L2,8ASXV05.9803,small car,6.0,11.0,18.0,13.0,1.0
10,ASTON MARTIN DB9 Volante,5.9,12,Man-6,2WD,Gasoline,L2,8ASXV05.9803,small car,6.0,10.0,16.0,12.0,0.0
11,ASTON MARTIN DB9 Volante,5.9,12,Auto-S6,2WD,Gasoline,L2,8ASXV05.9803,small car,6.0,11.0,17.0,13.0,1.0
12,ASTON MARTIN V8 Vantage,4.3,8,Man-6,2WD,Gasoline,L2,8ASXV04.3305,small car,6.0,12.0,19.0,15.0,3.0
13,ASTON MARTIN V8 Vantage,4.3,8,Auto-S6,2WD,Gasoline,L2,8ASXV04.3305,small car,6.0,13.0,20.0,15.0,3.0
14,AUDI A3,2.0,4,Man-6,2WD,Gasoline,U2,8ADXV02.0366,station wagon,7.0,21.0,29.0,24.0,7.0
15,AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,U2,8ADXV02.0366,station wagon,7.0,22.0,29.0,25.0,7.0
16,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,L2,8VWXV03.2535,station wagon,6.0,18.0,25.0,21.0,6.0
17,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,U2,8ADXV02.0352,small car,7.0,21.0,30.0,24.0,7.0
18,AUDI A4,3.1,6,Man-6,4WD,Gasoline,L2,8ADXV03.1374,small car,6.0,15.0,25.0,19.0,5.0
19,AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,L2,8ADXV03.1374,small car,6.0,17.0,25.0,20.0,6.0
20,AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,L2,8ADXV03.1374,small car,6.0,18.0,27.0,21.0,6.0
21,AUDI A4 Avant,3.1,6,Man-6,4WD,Gasoline,L2,8ADXV03.1374,station wagon,6.0,15.0,25.0,19.0,5.0
22,AUDI A4 Avant,3.1,6,Auto-S6,4WD,Gasoline,L2,8ADXV03.1374,station wagon,6.0,17.0,25.0,20.0,6.0
23,AUDI A4 Cabriolet,3.1,6,Auto-S6,4WD,Gasoline,L2,8ADXV03.1374,small car,6.0,17.0,25.0,20.0,6.0
24,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,L2,8ADXV03.1374,midsize car,6.0,17.0,25.0,20.0,6.0
25,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,L2,8ADXV03.1374,midsize car,6.0,18.0,27.0,21.0,6.0
26,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2365,midsize car,6.0,16.0,23.0,18.0,5.0
27,AUDI A6 Avant,3.1,6,Auto-S6,4WD,Gasoline,L2,8ADXV03.1374,station wagon,6.0,17.0,25.0,20.0,6.0
28,AUDI A8,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2365,midsize car,6.0,16.0,23.0,18.0,5.0
29,AUDI A8 L,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2365,large car,6.0,16.0,23.0,18.0,5.0
30,AUDI A8 L,6.0,12,Auto-S6,4WD,Gasoline,L2,8ADXV06.0359,large car,6.0,13.0,19.0,15.0,3.0
31,AUDI Q7,3.6,6,Auto-S6,4WD,Gasoline,L2,8VWXT03.6276,SUV,6.0,14.0,20.0,16.0,4.0
32,AUDI Q7,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXT04.2358,SUV,6.0,12.0,17.0,14.0,2.0
33,AUDI R8,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2375,small car,6.0,13.0,19.0,15.0,3.0
34,AUDI R8,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2375,small car,6.0,13.0,20.0,15.0,3.0
35,AUDI RS4,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2375,small car,6.0,13.0,20.0,15.0,3.0
36,AUDI RS4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2375,small car,6.0,12.0,19.0,14.0,2.0
37,AUDI S4,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2355,small car,6.0,13.0,20.0,15.0,3.0
38,AUDI S4,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2355,small car,6.0,14.0,21.0,16.0,4.0
39,AUDI S4 Avant,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2355,station wagon,6.0,13.0,20.0,15.0,3.0
40,AUDI S4 Avant,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2355,station wagon,6.0,14.0,21.0,16.0,4.0
41,AUDI S4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2355,small car,6.0,13.0,19.0,15.0,3.0
42,AUDI S4 Cabriolet,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2355,small car,6.0,14.0,21.0,16.0,4.0
43,AUDI S5,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2365,small car,6.0,14.0,21.0,16.0,4.0
44,AUDI S6,5.2,10,Auto-S6,4WD,Gasoline,L2,8ADXV05.2385,midsize car,6.0,14.0,19.0,16.0,4.0
45,AUDI S8,5.2,10,Auto-S6,4WD,Gasoline,L2,8ADXV05.2385,midsize car,6.0,13.0,19.0,15.0,3.0
46,AUDI TT Coupe,2.0,4,Auto-S6,2WD,Gasoline,U2,8ADXV02.0366,small car,7.0,23.0,31.0,26.0,8.0
47,AUDI TT Coupe,3.2,6,Man-6,4WD,Gasoline,L2,8VWXV03.2535,small car,6.0,17.0,24.0,19.0,5.0
48,AUDI TT Coupe,3.2,6,Auto-S6,4WD,Gasoline,L2,8VWXV03.2535,small car,6.0,18.0,24.0,20.0,6.0
49,AUDI TT Roadster,2.0,4,Auto-S6,2WD,Gasoline,U2,8ADXV02.0366,small car,7.0,22.0,29.0,25.0,7.0
50,AUDI TT Roadster,3.2,6,Man-6,4WD,Gasoline,L2,8VWXV03.2535,small car,6.0,17.0,24.0,19.0,5.0
51,AUDI TT Roadster,3.2,6,Auto-S6,4WD,Gasoline,L2,8VWXV03.2535,small car,6.0,18.0,24.0,20.0,6.0
52,BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,L2,8BEXV06.7TTC,large car,6.0,9.0,15.0,11.0,0.0
53,BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,L2,8BEXV06.7TTC,midsize car,6.0,10.0,15.0,11.0,0.0
