,Model,Displ,Cyl,Trans,Drive,Fuel,Stnd,Underhood_ID,Veh_Class,Air_Pollution_Score,City_MPG,Hwy_MPG,Cmb_MPG,Greenhouse_Gas_Score
499,KIA Sportage,2.4,4,SemiAuto-6,2WD,Gasoline,L3ULEV70,JKMXT02.44N5,small SUV,5.0,22.0,29.0,25.0,5.0
500,KIA Sportage,2.4,4,SemiAuto-6,4WD,Gasoline,L3SULEV30,JKMXT02.44N3,small SUV,7.0,21.0,25.0,23.0,5.0
501,KIA Sportage,2.4,4,SemiAuto-6,4WD,Gasoline,L3ULEV70,JKMXT02.44N5,small SUV,5.0,21.0,25.0,23.0,5.0
502,KIA Sportage FE,2.4,4,SemiAuto-6,2WD,Gasoline,L3SULEV30,JKMXT02.44N3,small SUV,7.0,23.0,30.0,26.0,5.0
503,KIA Sportage FE,2.4,4,SemiAuto-6,2WD,Gasoline,L3ULEV70,JKMXT02.44N5,small SUV,5.0,23.0,30.0,26.0,5.0
504,KIA Sportage FE,2.4,4,SemiAuto-6,4WD,Gasoline,L3SULEV30,JKMXT02.44N3,small SUV,7.0,21.0,25.0,22.0,4.0
505,KIA Sportage FE,2.4,4,SemiAuto-6,4WD,Gasoline,L3ULEV70,JKMXT02.44N5,small SUV,5.0,21.0,25.0,22.0,4.0
506,LAMBORGHINI Aventador Coupe,6.5,12,AMS-7,4WD,Gasoline,L2,JVGAV06.5LLR,small car,1.0,10.0,17.0,12.0,1.0
507,LAMBORGHINI Aventador Roadster,6.5,12,AMS-7,4WD,Gasoline,L2,JVGAV06.5LLR,small car,1.0,10.0,16.0,12.0,1.0
508,LAMBORGHINI Aventador S Coupe,6.5,12,AMS-7,4WD,Gasoline,L2,JVGAV06.5LLR,small car,1.0,10.0,17.0,12.0,1.0
509,LAMBORGHINI Aventador S Roadster,6.5,12,AMS-7,4WD,Gasoline,L2,JVGAV06.5LLR,small car,1.0,10.0,16.0,12.0,1.0
510,LAND ROVER Range Rover Velar,2.0,4,SemiAuto-8,4WD,Diesel,L3LEV160,JJLXJ02.0STY,small SUV,1.0,26.0,30.0,28.0,5.0
511,LAND ROVER Range Rover Velar,2.0,4,SemiAuto-8,4WD,Gasoline,L3SULEV30,JJLXJ02.0RTX,small SUV,7.0,21.0,27.0,23.0,5.0
512,LAND ROVER Range Rover Velar,3.0,6,SemiAuto-8,4WD,Gasoline,L3SULEV30,JJLXJ03.0FSP,small SUV,7.0,18.0,24.0,20.0,4.0
513,LEXUS GX 460,4.6,8,SemiAuto-6,4WD,Gasoline,U2,JTYXT04.6B6X,standard SUV,3.0,15.0,18.0,16.0,2.0
514,LEXUS LC 500,5.0,8,SemiAuto-10,2WD,Gasoline,L3ULEV70,JTYXV05.0M5A,small car,5.0,16.0,26.0,19.0,3.0
515,LEXUS LC 500h,3.5,6,SCV-10,2WD,Gasoline,L3SULEV30,JTYXV03.5P35,small car,7.0,26.0,35.0,30.0,7.0
516,LEXUS LX 570,5.7,8,SemiAuto-8,4WD,Gasoline,U2,JTYXT05.7B6Y,standard SUV,3.0,13.0,18.0,15.0,2.0
